"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",1110.65141219255,0.0294604452851909,0.13701418464082,0.215017484229248,0.829753686919673,0.999660933209297
"ENSMUSG00000000003",0,NA,NA,NA,NA,NA
"ENSMUSG00000000028",16.5456486377774,-0.410857771194979,0.666796534431892,-0.61616662651828,0.537784552366559,0.999660933209297
"ENSMUSG00000000031",0.857765316692437,1.76624103606452,2.57617532893744,0.68560591207626,0.492961652390861,NA
"ENSMUSG00000000037",0.427097972112692,1.09487124021172,3.97139120380022,0.275689596926145,0.782786486551209,NA
"ENSMUSG00000000049",15632.6292754944,-0.0743756573390564,0.106800569241331,-0.696397574164551,0.486179881817003,0.999660933209297
"ENSMUSG00000000056",635.883734155571,0.326175095438368,0.187528867252117,1.73933272363797,0.0819762544803126,0.674287366429047
"ENSMUSG00000000058",50.6799142105397,-0.0121698080684375,0.343924653495305,-0.0353850994534871,0.971772666185349,0.999752054358185
"ENSMUSG00000000078",142.193014553375,-0.17115852683795,0.290851803460475,-0.588473321470085,0.556214635802091,0.999660933209297
"ENSMUSG00000000085",92.2033236956225,-0.315532490919337,0.30345034169416,-1.03981590252205,0.298425439435321,0.970450211873781
"ENSMUSG00000000088",866.799624372263,-0.202352041887339,0.133841987398442,-1.51187266283595,0.130566259718751,0.803592092929638
"ENSMUSG00000000093",23.8951097383055,0.287278656126063,0.486375605410285,0.590651860271091,0.554753709232162,0.999660933209297
"ENSMUSG00000000094",0.491492545997734,2.55784075434088,3.70028333111283,0.691255378428449,0.489405067938371,NA
"ENSMUSG00000000103",0,NA,NA,NA,NA,NA
"ENSMUSG00000000120",50.1828700931566,0.112132786496671,0.447847771825871,0.250381476811879,0.802292352867381,0.999660933209297
"ENSMUSG00000000125",0,NA,NA,NA,NA,NA
"ENSMUSG00000000126",2.84797673755274,1.87760214656609,1.48558922953584,1.26387705917384,0.206274157025377,0.912215685878105
"ENSMUSG00000000127",104.632732599789,-0.138947187687301,0.237545817094005,-0.584927949425079,0.558596164495828,0.999660933209297
"ENSMUSG00000000131",470.785100801808,0.23654031230989,0.202979181868646,1.16534272200862,0.24388029244722,0.939044996921121
"ENSMUSG00000000134",331.484028966927,-0.401712717388531,0.27268786451599,-1.47315949722058,0.140708033497415,0.825456503437319
"ENSMUSG00000000142",36.0621633547157,0.0637389157808095,0.432770038561509,0.147281258177374,0.882910024958397,0.999660933209297
"ENSMUSG00000000148",98.5687895551033,0.298019418361648,0.279725445365721,1.0653997457114,0.286695071808813,0.962670375511045
"ENSMUSG00000000149",1193.8067473911,-0.203505902756557,0.133759566811783,-1.52143063563383,0.128151805806668,0.798352842660768
"ENSMUSG00000000154",785.267911013571,-0.211751239110145,0.164740419039423,-1.2853629992253,0.198665464683423,0.903200450499352
"ENSMUSG00000000157",7.06926998303671,0.0115338771200228,0.84143431844586,0.0137074004080627,0.989063419330911,0.999973988818375
"ENSMUSG00000000159",259.783674214902,-0.0612725260219217,0.171760690258281,-0.356731950307051,0.721292484283592,0.999660933209297
"ENSMUSG00000000167",4.90355661733801,0.0984769652529613,1.03438383909183,0.0952035033140329,0.92415318738658,0.999660933209297
"ENSMUSG00000000168",517.360159435426,-0.0600697051990308,0.14846966900282,-0.404592436977076,0.68577711872872,0.999660933209297
"ENSMUSG00000000171",1658.47699396774,-0.0778781530748361,0.140288389674476,-0.555128997171782,0.578806430110679,0.999660933209297
"ENSMUSG00000000182",0,NA,NA,NA,NA,NA
"ENSMUSG00000000183",0,NA,NA,NA,NA,NA
"ENSMUSG00000000184",122.697432106216,0.263946176410001,0.242707813044419,1.08750589072176,0.276813296634022,0.957330610382886
"ENSMUSG00000000194",209.209559488035,0.0326337315475084,0.218966410023928,0.149035331692849,0.881525753625301,0.999660933209297
"ENSMUSG00000000197",0.224754733537722,1.17951874533048,4.0804728567969,0.289064230231489,0.772532225785861,NA
"ENSMUSG00000000202",0,NA,NA,NA,NA,NA
"ENSMUSG00000000204",5.92503039975734,-0.128132320283936,1.05706121329193,-0.121215610480023,0.903520259914729,0.999660933209297
"ENSMUSG00000000214",0,NA,NA,NA,NA,NA
"ENSMUSG00000000215",0,NA,NA,NA,NA,NA
"ENSMUSG00000000216",0,NA,NA,NA,NA,NA
"ENSMUSG00000000223",0.259380831197935,1.37566445744226,4.04790726384774,0.339845843240643,0.733972622467198,NA
"ENSMUSG00000000244",3.50729915286856,0.218442430906709,1.27799015856002,0.170926536048477,0.86428153095343,0.999660933209297
"ENSMUSG00000000247",18.4493345414331,0.34329609754686,0.530590255664359,0.647007919730857,0.517626817818249,0.999660933209297
"ENSMUSG00000000248",0,NA,NA,NA,NA,NA
"ENSMUSG00000000253",7.31006429714218,0.73507789997649,0.865638080950236,0.849174633317395,0.395784126123402,0.992890351157719
"ENSMUSG00000000263",0,NA,NA,NA,NA,NA
"ENSMUSG00000000266",104.37515120416,-0.0334542465478634,0.284138951660521,-0.117739037018174,0.90627443481718,0.999660933209297
"ENSMUSG00000000275",1190.93633367859,0.0688757082526931,0.172178625744767,0.400024729868575,0.689138302325102,0.999660933209297
"ENSMUSG00000000276",20.9464065965267,-0.142811270065789,0.507003047140312,-0.281677340740453,0.778190930714428,0.999660933209297
"ENSMUSG00000000278",410.005995071992,-0.00544579844334053,0.150877323496627,-0.0360942142737724,0.971207235664312,0.999660933209297
"ENSMUSG00000000282",96.4977650563588,0.421684576577329,0.453530587476241,0.92978199976296,0.352483967973351,0.983433042367225
"ENSMUSG00000000290",116.600313173785,-0.131758415505727,0.241760821903002,-0.54499490226994,0.585757023671579,0.999660933209297
"ENSMUSG00000000295",6.12327175087497,0.378492085891396,0.909785835172917,0.41602327851088,0.677392969298925,0.999660933209297
"ENSMUSG00000000296",65.144765989603,-0.239625854614354,0.310727482879019,-0.771176892349917,0.440602088875206,0.998590119037556
"ENSMUSG00000000301",2368.20413188914,0.0990776840413652,0.132233680137546,0.749262093729125,0.45369925011352,0.999660933209297
"ENSMUSG00000000303",447.694091107075,-0.0202858284872834,0.143775488258644,-0.141093789581088,0.887795849769118,0.999660933209297
"ENSMUSG00000000305",4.50019000551253,-0.445688243893373,1.09204953342468,-0.408120905006653,0.683184913033613,0.999660933209297
"ENSMUSG00000000308",1.15069248942288,-1.03982508564303,2.59467642544777,-0.400753279077401,0.688601780027288,NA
"ENSMUSG00000000317",40.6936793705503,-0.845314266018706,0.431559215582832,-1.95874456041238,0.0501427090925674,0.542586986223235
"ENSMUSG00000000318",4.40223337694337,-0.466131160694895,1.1198599713189,-0.416240577066002,0.677233970286176,0.999660933209297
"ENSMUSG00000000320",9.10374730781284,0.000530562938738184,0.822852577030946,0.00064478492690949,0.999485536097428,0.999973988818375
"ENSMUSG00000000325",105.363842899896,0.353135391380866,0.302226374824469,1.16844663734581,0.242626652193102,0.938879171317709
"ENSMUSG00000000326",7579.27239275491,0.0101151985621801,0.161128878257003,0.0627770680935683,0.949944026853276,0.999660933209297
"ENSMUSG00000000339",75.0127957368599,0.0651524589127695,0.300180826186959,0.217044038889384,0.828174024795593,0.999660933209297
"ENSMUSG00000000340",1003.93063577398,-0.251369296689345,0.168004526478325,-1.49620550087843,0.134600111524468,0.813363032564252
"ENSMUSG00000000346",1286.28370365623,-0.265740185431231,0.119571148249272,-2.22244403706183,0.0262533120803062,0.393689808312816
"ENSMUSG00000000355",227.859837978478,-0.0623527855075156,0.197009052946377,-0.316497057241766,0.751625258447075,0.999660933209297
"ENSMUSG00000000359",4.31503832921777,-0.334158029428731,1.11788058065211,-0.298921043277987,0.76500029056863,0.999660933209297
"ENSMUSG00000000365",0.850201499489897,-0.311151791851135,2.30096149017535,-0.135226857633077,0.892432512803034,NA
"ENSMUSG00000000374",332.069303230059,-0.0647484921379549,0.172017938018371,-0.376405466103425,0.706615482942402,0.999660933209297
"ENSMUSG00000000378",202.953440711699,-0.327172803327369,0.225749251041275,-1.44927525481602,0.147260728695052,0.837443946307628
"ENSMUSG00000000381",0,NA,NA,NA,NA,NA
"ENSMUSG00000000384",315.887961606489,-0.0660651979044465,0.191005461449611,-0.345881198385917,0.729431999084866,0.999660933209297
"ENSMUSG00000000385",34.9066598501403,-0.0196415308475626,0.47515452269008,-0.0413371438334678,0.96702712186781,0.999660933209297
"ENSMUSG00000000386",16.9184262354825,0.031602361115627,0.572697745873485,0.0551815706336101,0.955993811066063,0.999660933209297
"ENSMUSG00000000392",2.13618846057626,1.2511139157778,1.56556391742345,0.799145855275487,0.424205843246801,NA
"ENSMUSG00000000394",0,NA,NA,NA,NA,NA
"ENSMUSG00000000399",896.71199588372,-0.171102882579917,0.127605319313188,-1.34087578402567,0.179960785728941,0.887466472009367
"ENSMUSG00000000402",1.25730454966824,-0.927973771044823,2.47168714564354,-0.375441435895484,0.707332193464178,NA
"ENSMUSG00000000409",12.206108637856,0.7545507830474,0.659546480334671,1.14404489379508,0.252605019265471,0.94687814926366
"ENSMUSG00000000411",0.66373849382485,-2.73532010841753,3.88384224943919,-0.704281979736046,0.481257186267774,NA
"ENSMUSG00000000416",2.72244466702992,-0.119938731118373,1.64539893662166,-0.0728934050271308,0.941890942009789,0.999660933209297
"ENSMUSG00000000420",611.406137173626,0.106134603066578,0.149181595519632,0.711445689375341,0.476808094718006,0.999660933209297
"ENSMUSG00000000435",0,NA,NA,NA,NA,NA
"ENSMUSG00000000439",137.371356487641,0.0806034797617521,0.227997972446363,0.353527177881875,0.723693257481837,0.999660933209297
"ENSMUSG00000000440",113.944267703772,0.165926786910661,0.228863584732123,0.725003006069633,0.468450186256862,0.999660933209297
"ENSMUSG00000000441",910.23140417894,-0.475354912344324,0.211831425225761,-2.24402452014715,0.024830823738075,0.381828144675312
"ENSMUSG00000000486",12.107655249919,0.838507032187974,0.744826476984027,1.12577500679525,0.260260765752634,0.952200360354272
"ENSMUSG00000000489",13.3659528755921,0.588378374966089,0.672863421199063,0.874439531751602,0.381878936854878,0.991968289000781
"ENSMUSG00000000530",38.7185786956635,-0.104756520172976,0.401384255777936,-0.260988114668186,0.79410167283153,0.999660933209297
"ENSMUSG00000000531",14.2850860875861,-0.0569325818798618,0.677847368713508,-0.0839902675847435,0.933064169768999,0.999660933209297
"ENSMUSG00000000532",107.511755931496,0.310056147106571,0.259477858990121,1.19492332915532,0.232116987129546,0.935374607418911
"ENSMUSG00000000538",409.895915126268,0.0217749060400533,0.154787912453826,0.140675752355978,0.888126101394387,0.999660933209297
"ENSMUSG00000000544",0,NA,NA,NA,NA,NA
"ENSMUSG00000000552",87.6992469766392,-0.49243109364965,0.309635658103188,-1.59035653925086,0.11175446086948,0.762870689962217
"ENSMUSG00000000555",198.255713583049,-0.282361311875267,0.208985931010394,-1.35110201203555,0.17666275704731,0.882763182966838
"ENSMUSG00000000560",0,NA,NA,NA,NA,NA
"ENSMUSG00000000561",339.63248086093,-0.222889429827576,0.166062454819608,-1.34220242660931,0.179530369903699,0.887056879256555
"ENSMUSG00000000562",1.64387915002542,2.06636778257643,2.36755074412247,0.872787114576642,0.382779124242956,NA
"ENSMUSG00000000563",2770.59042805311,-0.111493915618295,0.155413642728502,-0.717401083076524,0.473126651515947,0.999660933209297
"ENSMUSG00000000567",49.2286028353715,-0.605291682987384,0.375337672280379,-1.61265902063577,0.106818608201469,0.750338035638674
"ENSMUSG00000000568",235.368051397421,0.137147436581016,0.188447435026755,0.72777555482007,0.466750990888403,0.999660933209297
"ENSMUSG00000000579",18.4125749982386,-0.0943767709342628,0.640655857139158,-0.14731274190749,0.882885175614432,0.999660933209297
"ENSMUSG00000000581",332.314859686291,0.0800089821369633,0.169336394465839,0.472485447616541,0.636580326490233,0.999660933209297
"ENSMUSG00000000594",979.075262587313,-0.360562003742967,0.142528798702988,-2.52974842294387,0.0114144337627237,0.243170427137007
"ENSMUSG00000000600",235.131889443768,-0.0883838351395307,0.221782195502392,-0.398516368454731,0.690249595086084,0.999660933209297
"ENSMUSG00000000605",699.72259168157,-0.0444042244099293,0.140272003659555,-0.316557996260607,0.751579011868584,0.999660933209297
"ENSMUSG00000000606",0,NA,NA,NA,NA,NA
"ENSMUSG00000000617",0,NA,NA,NA,NA,NA
"ENSMUSG00000000627",1.83031160435091,1.78514293648115,2.05627562529206,0.868143800628671,0.385315615414592,NA
"ENSMUSG00000000628",9.65799540746157,-0.484550776426975,0.851599966456553,-0.568988721832807,0.569363793727098,0.999660933209297
"ENSMUSG00000000631",1048.57588242516,-0.193116677590991,0.203832603340124,-0.94742781295271,0.343420824150463,0.983305749969008
"ENSMUSG00000000632",0,NA,NA,NA,NA,NA
"ENSMUSG00000000673",3970.23827502223,0.0632389517619939,0.121302098665853,0.521334358247142,0.602133870235668,0.999660933209297
"ENSMUSG00000000682",58.8781144714723,0.115019890863511,0.31866995802856,0.360937352159198,0.718146280097093,0.999660933209297
"ENSMUSG00000000686",228.305702343941,0.366282113954155,0.199132942377871,1.83938483296804,0.0658586033480106,0.614324453424522
"ENSMUSG00000000690",0.179966698179757,1.24371223576147,4.0804728567969,0.3047961056008,0.760521447771491,NA
"ENSMUSG00000000693",21.6030611593166,0.158881746677501,0.613806088849523,0.258846807752101,0.795753440910101,0.999660933209297
"ENSMUSG00000000701",0,NA,NA,NA,NA,NA
"ENSMUSG00000000706",0,NA,NA,NA,NA,NA
